addressid,addressline1,addressline2,city,stateprovinceid,postalcode,spatiallocation,rowguid,modifieddate
1,1970 Napa Ct.,,Bothell,79,98011,<memory at 0x0000022A98C6FE80>,9aadcb0d-36cf-483f-84d8-585c2d4ec6e9,2018-12-03 00:00:00.000
2,9833 Mt. Dias Blv.,,Bothell,79,98011,<memory at 0x0000022A98C6FC40>,32a54b9e-e034-4bfb-b573-a71cde60d8c0,2019-11-30 00:00:00.000
3,7484 Roundtree Drive,,Bothell,79,98011,<memory at 0x0000022A98C6D3C0>,4c506923-6d1b-452c-a07c-baa6f5b142a4,2024-03-06 00:00:00.000
4,9539 Glenside Dr,,Bothell,79,98011,<memory at 0x0000022A98C6D6C0>,e5946c78-4bcc-477f-9fa1-cc09de16a880,2020-02-03 00:00:00.000
5,1226 Shoe St.,,Bothell,79,98011,<memory at 0x0000022A98C6D600>,fbaff937-4a97-4af0-81fd-b849900e9bb0,2019-12-19 00:00:00.000
6,1399 Firestone Drive,,Bothell,79,98011,<memory at 0x0000022A98C6D900>,febf8191-9804-44c8-877a-33fde94f0075,2020-02-13 00:00:00.000
7,5672 Hale Dr.,,Bothell,79,98011,<memory at 0x0000022A98C6D9C0>,0175a174-6c34-4d41-b3c1-4419cd6a0446,2020-12-10 00:00:00.000
8,6387 Scenic Avenue,,Bothell,79,98011,<memory at 0x0000022A98C6DA80>,3715e813-4dca-49e0-8f1c-31857d21f269,2019-12-17 00:00:00.000
9,8713 Yosemite Ct.,,Bothell,79,98011,<memory at 0x0000022A98C6DB40>,268af621-76d7-4c78-9441-144fd139821a,2023-05-30 00:00:00.000
10,250 Race Court,,Bothell,79,98011,<memory at 0x0000022A98C6DC00>,0b6b739d-8eb6-4378-8d55-fe196af34c04,2019-12-02 00:00:00.000
11,1318 Lasalle Street,,Bothell,79,98011,<memory at 0x0000022A98C6DCC0>,981b3303-aca2-49c7-9a96-fb670785b269,2024-02-28 00:00:00.000
12,5415 San Gabriel Dr.,,Bothell,79,98011,<memory at 0x0000022A98C6DD80>,1c2c9cfe-ab9f-4f96-8e1f-d9666b6f7f22,2024-01-05 00:00:00.000
