currencycode,name,modifieddate
AED,Emirati Dirham,2019-04-30
AFA,Afghani,2019-04-30
ALL,Lek,2019-04-30
AMD,Armenian Dram,2019-04-30
ANG,Netherlands Antillian Guilder,2019-04-30
AOA,Kwanza,2019-04-30
ARS,Argentine Peso,2019-04-30
ATS,Shilling,2019-04-30
AUD,Australian Dollar,2019-04-30
AWG,Aruban Guilder,2019-04-30
AZM,Azerbaijanian Manat,2019-04-30
BBD,Barbados Dollar,2019-04-30
BDT,Taka,2019-04-30
BEF,Belgian Franc,2019-04-30
BGN,Bulgarian Lev,2019-04-30
BHD,Bahraini Dinar,2019-04-30
BND,Brunei Dollar,2019-04-30
BOB,Boliviano,2019-04-30
BRL,Brazilian Real,2019-04-30
BSD,Bahamian Dollar,2019-04-30
BTN,Ngultrum,2019-04-30
CAD,Canadian Dollar,2019-04-30
CHF,Swiss Franc,2019-04-30
CLP,Chilean Peso,2019-04-30
CNY,Yuan Renminbi,2019-04-30
COP,Colombian Peso,2019-04-30
CRC,Costa Rican Colon,2019-04-30
CYP,Cyprus Pound,2019-04-30
CZK,Czech Koruna,2019-04-30
DEM,Deutsche Mark,2019-04-30
DKK,Danish Krone,2019-04-30
DOP,Dominican Peso,2019-04-30
DZD,Algerian Dinar,2019-04-30
EEK,Kroon,2019-04-30
EGP,Egyptian Pound,2019-04-30
ESP,Spanish Peseta,2019-04-30
EUR,EURO,2019-04-30
FIM,Markka,2019-04-30
FJD,Fiji Dollar,2019-04-30
FRF,French Franc,2019-04-30
GBP,United Kingdom Pound,2019-04-30
GHC,Cedi,2019-04-30
GRD,Drachma,2019-04-30
GTQ,Quetzal,2019-04-30
HKD,Hong Kong Dollar,2019-04-30
HRK,Croatian Kuna,2019-04-30
HUF,Forint,2019-04-30
IDR,Rupiah,2019-04-30
IEP,Irish Pound,2019-04-30
ILS,New Israeli Shekel,2019-04-30
INR,Indian Rupee,2019-04-30
ISK,Iceland Krona,2019-04-30
ITL,Italian Lira,2019-04-30
JMD,Jamaican Dollar,2019-04-30
JOD,Jordanian Dinar,2019-04-30
JPY,Yen,2019-04-30
KES,Kenyan Shilling,2019-04-30
KRW,Won,2019-04-30
KWD,Kuwaiti Dinar,2019-04-30
LBP,Lebanese Pound,2019-04-30
LKR,Sri Lankan Rupee,2019-04-30
LTL,Lithuanian Litas,2019-04-30
LVL,Latvian Lats,2019-04-30
MAD,Moroccan Dirham,2019-04-30
MTL,Maltese Lira,2019-04-30
MUR,Mauritius Rupee,2019-04-30
MVR,Rufiyaa,2019-04-30
MXN,Mexican Peso,2019-04-30
MYR,Malaysian Ringgit,2019-04-30
NAD,Namibia Dollar,2019-04-30
NGN,Naira,2019-04-30
NLG,Netherlands Guilder,2019-04-30
NOK,Norwegian Krone,2019-04-30
NPR,Nepalese Rupee,2019-04-30
NZD,New Zealand Dollar,2019-04-30
OMR,Omani Rial,2019-04-30
PAB,Balboa,2019-04-30
PEN,Nuevo Sol,2019-04-30
PHP,Philippine Peso,2019-04-30
PKR,Pakistan Rupee,2019-04-30
PLN,Zloty,2019-04-30
PLZ,Polish Zloty(old),2019-04-30
PTE,Portuguese Escudo,2019-04-30
PYG,Guarani,2019-04-30
ROL,Leu,2019-04-30
RUB,Russian Ruble,2019-04-30
RUR,Russian Ruble(old),2019-04-30
SAR,Saudi Riyal,2019-04-30
SEK,Swedish Krona,2019-04-30
SGD,Singapore Dollar,2019-04-30
SIT,Tolar,2019-04-30
SKK,Slovak Koruna,2019-04-30
SVC,El Salvador Colon,2019-04-30
THB,Baht,2019-04-30
TND,Tunisian Dinar,2019-04-30
TRL,Turkish Lira,2019-04-30
TTD,Trinidad and Tobago Dollar,2019-04-30
TWD,New Taiwan Dollar,2019-04-30
USD,US Dollar,2019-04-30
UYU,Uruguayan Peso,2019-04-30
VEB,Bolivar,2019-04-30
VND,Dong,2019-04-30
XOF,CFA Franc BCEAO,2019-04-30
ZAR,Rand,2019-04-30
ZWD,Zimbabwe Dollar,2019-04-30
