currencyrateid,currencyratedate,fromcurrencycode,tocurrencycode,averagerate,endofdayrate,modifieddate
1,2022-05-30,USD,ARS,1.0,1.0002,2022-05-30 00:00:00.000
2,2022-05-30,USD,AUD,1.5491,1.55,2022-05-30 00:00:00.000
3,2022-05-30,USD,BRL,1.9379,1.9419,2022-05-30 00:00:00.000
4,2022-05-30,USD,CAD,1.4641,1.4683,2022-05-30 00:00:00.000
5,2022-05-30,USD,CNY,8.2781,8.2784,2022-05-30 00:00:00.000
6,2022-05-30,USD,DEM,1.8967,1.8976,2022-05-30 00:00:00.000
7,2022-05-30,USD,EUR,0.9697,0.9703,2022-05-30 00:00:00.000
8,2022-05-30,USD,FRF,6.3611,6.3613,2022-05-30 00:00:00.000
9,2022-05-30,USD,GBP,0.6183,0.6183,2022-05-30 00:00:00.000
10,2022-05-30,USD,JPY,104.91,104.958,2022-05-30 00:00:00.000
11,2022-05-30,USD,MXN,9.374,9.384,2022-05-30 00:00:00.000
12,2022-05-30,USD,SAR,3.7507,3.7584,2022-05-30 00:00:00.000
13,2022-05-30,USD,VEB,634.5099,634.6,2022-05-30 00:00:00.000
14,2022-05-31,USD,ARS,1.0,0.9991,2022-05-31 00:00:00.000
15,2022-05-31,USD,AUD,1.5559,1.5558,2022-05-31 00:00:00.000
16,2022-05-31,USD,BRL,1.9339,1.933,2022-05-31 00:00:00.000
17,2022-05-31,USD,CAD,1.4661,1.4637,2022-05-31 00:00:00.000
18,2022-05-31,USD,CNY,8.2781,8.2774,2022-05-31 00:00:00.000
19,2022-05-31,USD,DEM,1.8924,1.8922,2022-05-31 00:00:00.000
20,2022-05-31,USD,EUR,0.9676,0.967,2022-05-31 00:00:00.000
21,2022-05-31,USD,FRF,6.3468,6.3465,2022-05-31 00:00:00.000
22,2022-05-31,USD,GBP,0.6166,0.6162,2022-05-31 00:00:00.000
23,2022-05-31,USD,JPY,105.7,105.674,2022-05-31 00:00:00.000
24,2022-05-31,USD,MXN,9.3949,9.3919,2022-05-31 00:00:00.000
25,2022-05-31,USD,SAR,3.7507,3.7507,2022-05-31 00:00:00.000
26,2022-05-31,USD,VEB,634.25,634.24,2022-05-31 00:00:00.000
27,2022-06-01,USD,ARS,1.0,1.0004,2022-06-01 00:00:00.000
28,2022-06-01,USD,AUD,1.5592,1.5597,2022-06-01 00:00:00.000
29,2022-06-01,USD,BRL,1.9359,1.944,2022-06-01 00:00:00.000
30,2022-06-01,USD,CAD,1.4672,1.4734,2022-06-01 00:00:00.000
31,2022-06-01,USD,CNY,8.2781,8.2789,2022-06-01 00:00:00.000
32,2022-06-01,USD,DEM,1.8796,1.8802,2022-06-01 00:00:00.000
33,2022-06-01,USD,EUR,0.961,0.9615,2022-06-01 00:00:00.000
34,2022-06-01,USD,FRF,6.3041,6.3041,2022-06-01 00:00:00.000
35,2022-06-01,USD,GBP,0.6156,0.6163,2022-06-01 00:00:00.000
36,2022-06-01,USD,JPY,105.53,105.604,2022-06-01 00:00:00.000
37,2022-06-01,USD,MXN,9.355,9.355,2022-06-01 00:00:00.000
38,2022-06-01,USD,SAR,3.7505,3.757,2022-06-01 00:00:00.000
39,2022-06-01,USD,VEB,634.75,634.7999,2022-06-01 00:00:00.000
40,2022-06-02,USD,ARS,1.0,1.0,2022-06-02 00:00:00.000
41,2022-06-02,USD,AUD,1.5645,1.5634,2022-06-02 00:00:00.000
42,2022-06-02,USD,BRL,1.9295,1.925,2022-06-02 00:00:00.000
43,2022-06-02,USD,CAD,1.4672,1.4609,2022-06-02 00:00:00.000
44,2022-06-02,USD,CNY,8.2783,8.2782,2022-06-02 00:00:00.000
45,2022-06-02,USD,DEM,1.8811,1.8801,2022-06-02 00:00:00.000
46,2022-06-02,USD,EUR,0.9617,0.9617,2022-06-02 00:00:00.000
47,2022-06-02,USD,FRF,6.309,6.308,2022-06-02 00:00:00.000
48,2022-06-02,USD,GBP,0.6163,0.6159,2022-06-02 00:00:00.000
49,2022-06-02,USD,JPY,105.77,105.682,2022-06-02 00:00:00.000
50,2022-06-02,USD,MXN,9.346,9.3369,2022-06-02 00:00:00.000
51,2022-06-02,USD,SAR,3.7492,3.7416,2022-06-02 00:00:00.000
52,2022-06-02,USD,VEB,635.75,635.6599,2022-06-02 00:00:00.000
53,2022-06-03,USD,ARS,1.0,1.0004,2022-06-03 00:00:00.000
54,2022-06-03,USD,AUD,1.5667,1.567,2022-06-03 00:00:00.000
55,2022-06-03,USD,BRL,1.9319,1.937,2022-06-03 00:00:00.000
56,2022-06-03,USD,CAD,1.464,1.4673,2022-06-03 00:00:00.000
57,2022-06-03,USD,CNY,8.2784,8.2788,2022-06-03 00:00:00.000
58,2022-06-03,USD,DEM,1.8978,1.8984,2022-06-03 00:00:00.000
59,2022-06-03,USD,EUR,0.9704,0.9711,2022-06-03 00:00:00.000
60,2022-06-03,USD,FRF,6.3654,6.3658,2022-06-03 00:00:00.000
61,2022-06-03,USD,GBP,0.6185,0.6186,2022-06-03 00:00:00.000
62,2022-06-03,USD,JPY,106.11,106.182,2022-06-03 00:00:00.000
63,2022-06-03,USD,MXN,9.335,9.3369,2022-06-03 00:00:00.000
64,2022-06-03,USD,SAR,3.7507,3.7606,2022-06-03 00:00:00.000
65,2022-06-03,USD,VEB,636.25,636.33,2022-06-03 00:00:00.000
66,2022-06-04,USD,ARS,1.0,0.9995,2022-06-04 00:00:00.000
67,2022-06-04,USD,AUD,1.5642,1.5636,2022-06-04 00:00:00.000
68,2022-06-04,USD,BRL,1.933,1.925,2022-06-04 00:00:00.000
69,2022-06-04,USD,CAD,1.4641,1.4563,2022-06-04 00:00:00.000
70,2022-06-04,USD,CNY,8.2784,8.278,2022-06-04 00:00:00.000
71,2022-06-04,USD,DEM,1.9007,1.8997,2022-06-04 00:00:00.000
72,2022-06-04,USD,EUR,0.9718,0.9715,2022-06-04 00:00:00.000
73,2022-06-04,USD,FRF,6.3746,6.3742,2022-06-04 00:00:00.000
74,2022-06-04,USD,GBP,0.6179,0.6173,2022-06-04 00:00:00.000
75,2022-06-04,USD,JPY,106.42,106.403,2022-06-04 00:00:00.000
76,2022-06-04,USD,MXN,9.335,9.327,2022-06-04 00:00:00.000
77,2022-06-04,USD,SAR,3.7507,3.75,2022-06-04 00:00:00.000
78,2022-06-04,USD,VEB,636.25,636.25,2022-06-04 00:00:00.000
79,2022-06-05,USD,ARS,1.0,1.0005,2022-06-05 00:00:00.000
80,2022-06-05,USD,AUD,1.5645,1.5652,2022-06-05 00:00:00.000
81,2022-06-05,USD,BRL,1.933,1.9379,2022-06-05 00:00:00.000
82,2022-06-05,USD,CAD,1.4621,1.4661,2022-06-05 00:00:00.000
83,2022-06-05,USD,CNY,8.2784,8.2784,2022-06-05 00:00:00.000
84,2022-06-05,USD,DEM,1.8987,1.899,2022-06-05 00:00:00.000
85,2022-06-05,USD,EUR,0.9708,0.9716,2022-06-05 00:00:00.000
86,2022-06-05,USD,FRF,6.3678,6.3681,2022-06-05 00:00:00.000
