salesorderid,revisionnumber,orderdate,duedate,shipdate,status,onlineorderflag,purchaseordernumber,accountnumber,customerid,salespersonid,territoryid,billtoaddressid,shiptoaddressid,shipmethodid,creditcardid,creditcardapprovalcode,currencyrateid,subtotal,taxamt,freight,totaldue,comment,rowguid,modifieddate
43659,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO522145787,10-4020-000676,29825,279.0,5,985,985,5,16281.0,105041Vi84182,,20565.6206,1971.5149,616.0984,23153.2339,,79b65321-39ca-4115-9cba-8fe0903e12e6,2022-06-06
43660,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO18850127500,10-4020-000117,29672,279.0,5,921,921,5,5618.0,115213Vi29411,,1294.2529,124.2483,38.8276,1457.3288,,738dc42d-d03b-48a1-9822-f95a67ea7389,2022-06-06
43661,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO18473189620,10-4020-000442,29734,282.0,6,517,517,5,1346.0,85274Vi6854,4.0,32726.4786,3153.7696,985.553,36865.8012,,d91b9131-18a4-4a11-bc3a-90b6f53e9d74,2022-06-06
43662,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO18444174044,10-4020-000227,29994,282.0,6,482,482,5,10456.0,125295Vi53935,4.0,28832.5289,2775.1646,867.2389,32474.9324,,4a1ecfc0-cc3a-4740-b028-1c50bb48711c,2022-06-06
43663,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO18009186470,10-4020-000510,29565,276.0,4,1073,1073,5,4322.0,45303Vi22691,,419.4589,40.2681,12.5838,472.3108,,9b1e7a40-6ae0-4ad3-811c-a64951857c4b,2022-06-06
43664,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO16617121983,10-4020-000397,29898,280.0,1,876,876,5,806.0,95555Vi4081,,24432.6088,2344.9921,732.81,27510.4109,,22a8a5da-8c22-42ad-9241-839489b6ef0d,2022-06-06
43665,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO16588191572,10-4020-000146,29580,283.0,1,849,849,5,15232.0,35568Vi78804,,14352.7713,1375.9427,429.9821,16158.6961,,5602c304-853c-43d7-9e79-76e320d476cf,2022-06-06
43666,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO16008173883,10-4020-000511,30052,276.0,4,1074,1074,5,13349.0,105623Vi69217,,5056.4896,486.3747,151.9921,5694.8564,,e2a90057-1366-4487-8a7e-8085845ff770,2022-06-06
43667,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO15428132599,10-4020-000646,29974,277.0,3,629,629,5,10370.0,55680Vi53503,,6107.082,586.1203,183.1626,6876.3649,,86d5237d-432d-4b21-8abc-671942f5789d,2022-06-06
43668,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO14732180295,10-4020-000514,29614,282.0,6,529,529,5,1566.0,85817Vi8045,4.0,35944.1562,3461.7654,1081.8017,40487.7233,,281cc355-d538-494e-9b44-461b36a826c6,2022-06-06
43669,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO14123169936,10-4020-000578,29747,283.0,1,895,895,5,15538.0,25877Vi80261,,714.7043,70.5175,22.0367,807.2585,,fabfc5c2-e034-4e0e-a573-6f39e9fa0484,2022-06-06
43670,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO14384116310,10-4020-000504,29566,275.0,3,810,810,5,18017.0,105888Vi93490,,6122.082,587.5603,183.6126,6893.2549,,573e52a7-573f-40b6-b695-6f3d242e0c6d,2022-06-06
43671,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO13978119376,10-4020-000200,29890,283.0,1,855,855,5,13693.0,25904Vi70960,,8128.7876,780.8136,244.0042,9153.6054,,005fda9d-62e1-4001-a4ac-a976a7905f94,2022-06-06
43672,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO13862153537,10-4020-000119,30067,282.0,6,464,464,5,3980.0,95915Vi20982,4.0,6124.182,587.6023,183.6257,6895.41,,194202aa-8e15-4932-a2c4-7a7ac0713639,2022-06-06
43673,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO13775141242,10-4020-000618,29844,275.0,2,821,821,5,1417.0,35931Vi7271,,3746.2015,357.9614,111.8629,4216.0258,,c5cd3ae9-41f5-4b71-a3f1-d550b928572b,2022-06-06
43674,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO12760141756,10-4020-000083,29596,282.0,6,458,458,5,19204.0,26081Vi99806,4.0,2624.382,251.9407,78.7315,2955.0542,,ce8bca02-f705-4aae-a446-5d8b660c3a1b,2022-06-06
43675,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO12412186464,10-4020-000670,29827,277.0,3,631,631,5,11886.0,126121Vi61402,,5716.3102,546.8759,170.8987,6434.0848,,9f2cf0ee-f2b8-44d4-897d-7641f4fbd649,2022-06-06
43676,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO11861165059,10-4020-000017,29811,275.0,5,755,755,5,18153.0,36168Vi94127,,14203.458,1363.266,426.0206,15992.7446,,28c73732-d2fd-4f0d-a9a8-0e53595235f6,2022-06-06
43677,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO11049174786,10-4020-000679,29824,278.0,6,556,556,5,14030.0,16302Vi72763,4.0,7793.1108,747.1011,233.4691,8773.681,,95faaf28-6495-40b0-9789-466b195f2f96,2022-06-06
43678,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO10817150168,10-4020-000203,29889,281.0,4,1021,1021,5,5093.0,66363Vi26658,,9799.9243,942.074,294.3981,11036.3964,,7f4b7542-638e-41ca-98d0-93018fe4df77,2022-06-06
43679,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO10527142759,10-4020-000480,29761,278.0,6,525,525,5,5439.0,126365Vi28482,4.0,1316.0575,125.8032,39.3135,1481.1742,,17d42d83-177d-4c7e-9c86-d2db69326e04,2022-06-06
43680,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO10730130087,10-4020-000491,29489,281.0,4,1069,1069,5,6653.0,126370Vi34642,,11397.4992,1093.6394,341.7623,12832.9009,,9cbe5e7a-12d2-4dd4-b50c-1ffb4021c6e1,2022-06-06
43681,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO1189177803,10-4020-000423,29661,279.0,5,955,955,5,5301.0,16608Vi27707,,13787.5434,1323.0668,413.4584,15524.0686,,c82fc32f-7e10-40d2-8a9f-3d932db42cd4,2022-06-06
43682,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO1566124200,10-4020-000486,29759,275.0,2,808,808,5,76.0,96712Vi373,,3875.7229,371.8002,116.1876,4363.7107,,cdc225d3-b639-4217-a7a4-3ded506fcebe,2022-06-06
43683,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO2552113807,10-4020-000506,29497,283.0,1,889,889,5,13045.0,76866Vi67506,,42813.4333,4107.1489,1283.484,48204.0662,,f6e2abb3-6ff8-49a6-9506-0b051a4618a0,2022-06-06
43684,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO3393188842,10-4020-000549,29912,279.0,5,971,971,5,267.0,37982Vi1394,,5596.4705,537.2612,167.8941,6301.6258,,3a2efba3-34e6-4cb5-b983-cb755aea05da,2022-06-06
43685,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO4176124783,10-4020-000458,30084,279.0,5,958,958,5,2519.0,108058Vi13146,,2736.5678,263.201,82.2503,3082.0191,,c8098fe4-2910-4bd3-9251-e9aea7c7d118,2022-06-06
43686,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO5075125561,10-4020-000344,29606,283.0,1,871,871,5,14612.0,48152Vi75759,,3463.2998,332.4768,103.899,3899.6756,,65ef22d9-1ad7-40f4-a984-b7f074b7a6cf,2022-06-06
43687,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO4959110829,10-4020-000269,29610,275.0,2,783,783,5,3235.0,128163Vi17021,,1258.3767,120.8042,37.7513,1416.9322,,d04c9a8a-85b4-48f5-8ace-d864d7eb94c7,2022-06-06
43688,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO5365136389,10-4020-000161,29718,275.0,2,771,771,5,12399.0,88200Vi64099,,12718.0844,1222.8838,382.1512,14323.1194,,596dee2a-abcb-46d0-95b9-e5aff8c6c1f8,2022-06-06
43689,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO5626159507,10-4020-000166,29646,277.0,4,578,578,5,13054.0,98228Vi67566,,33997.3702,3271.4942,1022.3419,38291.2063,,d5628c44-bd37-4337-9412-3407c824df71,2022-06-06
43690,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO6235146326,10-4020-000431,29533,275.0,3,801,801,5,2337.0,28321Vi12181,,1297.5901,124.2027,38.8133,1460.6061,,68942478-3091-49d6-aa0f-c3a0aa4d49d0,2022-06-06
43691,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO6409111675,10-4020-000292,29570,277.0,4,592,592,5,242.0,28360Vi1235,,874.794,83.9802,26.2438,985.018,,2eb93130-1226-4e8b-a2fd-1ad8d951d103,2022-06-06
43692,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO7859187017,10-4020-000221,29992,281.0,4,1024,1024,5,7176.0,108529Vi37251,,38510.8973,3696.3979,1155.1244,43362.4196,,edb9e3f0-0b76-4dbc-934e-9dabfba01ee5,2022-06-06
43693,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO8120182325,10-4020-000485,29491,275.0,5,807,807,5,8937.0,128548Vi46064,,20541.4072,1969.5564,615.4864,23126.45,,49c3d13d-464f-49d0-b21a-a2c07145ec62,2022-06-06
43694,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO9657130250,10-4020-000315,29549,279.0,5,943,943,5,7083.0,118748Vi36747,,20645.634,1978.3257,618.2268,23242.1865,,ceaaa999-7157-449d-8665-142793421294,2022-06-06
43695,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO10179176559,10-4020-000027,29958,279.0,5,911,911,5,10163.0,128786Vi52413,,39373.781,3787.4632,1183.5823,44344.8265,,f5fb98a9-a866-42ce-add8-6879231ed1a2,2022-06-06
43696,10,2022-05-30,2022-06-11,2022-06-06,5,false,PO9947131800,10-4020-000603,29849,279.0,5,977,977,5,1402.0,98787Vi7192,,419.4589,40.2681,12.5838,472.3108,,7c3e3b6d-e76e-470b-a75e-b20c25f86760,2022-06-06
43843,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO19923118772,10-4020-000018,29955,275.0,3,756,756,5,13712.0,25020Vi71036,,32940.1556,3174.1988,991.9371,37106.2915,,4c035fe0-e928-4932-97d8-be338ee54058,2022-07-07
43844,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO19691138342,10-4020-000353,29620,282.0,6,503,503,5,5577.0,105103Vi29202,407.0,20249.94,1943.9942,607.4982,22801.4324,,b90db933-2d63-4b51-9b14-599dd8de2466,2022-07-07
43845,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO19546184286,10-4020-000206,29888,279.0,5,930,930,5,2364.0,15114Vi12293,,8580.0739,823.6669,257.3959,9661.1367,,6d308efc-d13c-4e95-9653-98b9ba7c6f8b,2022-07-07
43846,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO19430112391,10-4020-000318,29548,278.0,6,498,498,5,5528.0,115137Vi28965,407.0,919.5201,90.6637,28.3324,1038.5162,,ece0d5a4-8384-43d3-af7b-92ed5c1ed760,2022-07-07
43847,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO19227161888,10-4020-000210,29539,278.0,6,480,480,5,181.0,55182Vi966,407.0,908.8209,86.9292,27.1654,1022.9155,,d87eccc0-6dc2-4814-bc29-9bb76a02861e,2022-07-07
43848,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO18908190536,10-4020-000164,29717,283.0,1,851,851,5,15882.0,15215Vi82057,,18269.946,1753.9148,548.0984,20571.9592,,632d61e3-b219-403c-9d2b-6374a2cf0917,2022-07-07
43849,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO18676186169,10-4020-000697,29818,274.0,1,1104,1104,5,14559.0,55256Vi75492,,20544.7015,1969.9765,615.6177,23130.2957,,f4c65ad3-dc9e-46cf-98ba-8eda6c166335,2022-07-07
43850,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO18415143340,10-4020-000191,29892,282.0,6,476,476,5,11072.0,75292Vi57135,407.0,10183.7952,982.9377,307.168,11473.9009,,fa64e91a-a5ea-4a9d-86bc-e92aad0e3e2c,2022-07-07
43851,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO18386167654,10-4020-000558,29509,275.0,2,816,816,5,8979.0,125302Vi46289,,6783.7679,651.4975,203.593,7638.8584,,cb4920ec-4887-4931-9258-78377518fd98,2022-07-07
43852,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO17864179720,10-4020-000568,29855,282.0,6,539,539,5,8043.0,115310Vi41710,407.0,2024.994,194.3994,60.7498,2280.1432,,ec8883d3-214d-4e31-a25a-b74baf6163c5,2022-07-07
43853,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO18270155899,10-4020-000011,29813,282.0,6,446,446,5,12279.0,85313Vi63488,407.0,26354.922,2530.0725,790.6477,29675.6422,,c61de9af-0c09-4894-b6ea-e27c6652c354,2022-07-07
43854,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO17777139245,10-4020-000208,29988,282.0,6,478,478,5,9855.0,45354Vi50783,407.0,1749.588,167.9604,52.4876,1970.036,,c69beaf4-1c0e-425b-9b7e-ad8b0e3bcf89,2022-07-07
43855,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO17748116016,10-4020-000102,29946,278.0,6,462,462,5,14454.0,65357Vi74935,407.0,10993.3516,1058.7224,330.8508,12382.9248,,b691d9f1-475f-4cd0-99e5-2afd69fb659e,2022-07-07
43856,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO17313123131,10-4020-000389,29680,282.0,6,509,509,5,18049.0,55434Vi93678,407.0,2036.394,195.3874,61.0586,2292.84,,910347fd-9759-4a08-99ee-0ba5f965004b,2022-07-07
43857,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO16733124458,10-4020-000533,30074,282.0,6,534,534,5,18260.0,45523Vi94762,407.0,7186.5371,689.052,215.3287,8090.9178,,b4eea46b-8c3b-44dd-a6f3-d4c9b357d8d6,2022-07-07
43858,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO16791124272,10-4020-000036,29961,275.0,2,758,758,5,3274.0,35544Vi17259,,13694.3494,1317.0672,411.5835,15423.0001,,2245ba06-463f-48b6-b1db-20c837b6b3ad,2022-07-07
43859,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO16762199940,10-4020-000259,29865,276.0,4,1032,1032,5,11840.0,85562Vi61174,,3911.5991,375.2443,117.2639,4404.1073,,365d7fac-6770-4f6e-88fb-23ea9d0202db,2022-07-07
43860,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO16646146654,10-4020-000001,29773,280.0,1,832,832,5,19181.0,105571Vi99678,,10993.3942,1057.2843,330.4013,12381.0798,,d2745233-b05b-409c-93bb-4451569f4253,2022-07-07
43861,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO16327172067,10-4020-000584,29749,279.0,5,974,974,5,6675.0,45614Vi34749,,23401.1062,2244.4088,701.3777,26346.8927,,83b3d7c7-75df-446b-af7c-8d7ad437dc6e,2022-07-07
43862,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO16211194171,10-4020-000099,29945,279.0,5,919,919,5,6777.0,55631Vi35295,,31000.7804,2987.8703,933.7095,34922.3602,,940d8f40-7fda-43b5-aa0f-e5605cc398c3,2022-07-07
43863,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO15747169584,10-4020-000471,29764,277.0,4,611,611,5,11717.0,65637Vi60618,,1718.8983,164.9658,51.5518,1935.4159,,3db29079-48cf-484e-8156-dfc9afbbc44c,2022-07-07
43864,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO16037151094,10-4020-000384,30056,276.0,4,1052,1052,5,1896.0,45642Vi9831,,38474.3572,3703.8969,1157.4678,43335.7219,,59863d9c-ae67-4857-8d71-b24fb735a89f,2022-07-07
43865,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO15689147174,10-4020-000328,30117,277.0,4,596,596,5,4623.0,45669Vi24257,,13196.0548,1268.2589,396.3309,14860.6446,,e1d2a49d-5c50-465f-a927-0bddc2440741,2022-07-07
43866,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO14529112624,10-4020-000289,29571,280.0,1,864,864,5,14363.0,55805Vi74455,,4076.388,391.2268,122.2584,4589.8732,,3bdcd17c-f327-4d97-9134-3a96a2cbb88a,2022-07-07
43867,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO14471123403,10-4020-000145,29582,280.0,1,848,848,5,1359.0,45808Vi6925,,32673.0446,3149.2911,984.1535,36806.4892,,b77e764c-9c42-4333-81c4-f1417b07c3f3,2022-07-07
43868,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO14848158712,10-4020-000478,30042,282.0,6,523,523,5,10628.0,85848Vi54777,407.0,2146.962,206.1084,64.4089,2417.4793,,8417b236-d1cd-4916-97bf-4f76ba08c031,2022-07-07
43869,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO14500145975,10-4020-000650,30107,276.0,1,1099,1099,5,6386.0,45864Vi33152,,49193.9864,4734.607,1479.5647,55408.1581,,cfd72e16-f7fc-4ded-9c2d-95405ff19510,2022-07-07
43870,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO14326149236,10-4020-000107,29675,275.0,2,765,765,5,18323.0,55875Vi95160,,4316.9864,413.6232,129.2572,4859.8668,,2ad8fe9a-51db-4469-a853-77ad3f8b7024,2022-07-07
43871,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO13572145817,10-4020-000527,30076,281.0,3,1076,1076,5,4941.0,75995Vi25927,,9398.8972,899.949,281.2341,10580.0803,,91a42588-4e33-4651-959a-fd22957757a6,2022-07-07
43872,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO12557127067,10-4020-000240,30100,276.0,4,1028,1028,5,3368.0,66128Vi17744,,11584.459,1110.9858,347.1831,13042.6279,,6056459a-2c20-4924-914d-3085728ffebe,2022-07-07
43873,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO12499138177,10-4020-000078,29703,276.0,4,1001,1001,5,15090.0,96146Vi78070,,41250.4391,3973.725,1241.789,46465.9531,,ca7f3655-94d7-447c-ae5d-5b85ef6af871,2022-07-07
43874,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO12122162917,10-4020-000022,29569,277.0,3,562,562,5,13917.0,66171Vi72178,,419.4589,40.2681,12.5838,472.3108,,19b1a1e5-ec5a-4f8e-a25a-3a2a21219fad,2022-07-07
43875,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO12586178184,10-4020-000278,29624,279.0,5,938,30,5,204.0,116188Vi1051,,121761.9396,11871.5033,3709.8448,137343.2877,,8ad47dfb-4d6c-4354-ad25-9e3e64af0c64,2022-07-07
43876,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO12006119347,10-4020-000270,30091,275.0,2,784,784,5,6005.0,66205Vi31256,,7135.2649,686.9474,214.6711,8036.8834,,53188142-2a1f-4f1b-aad5-fa92bbf4b770,2022-07-07
43877,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO11919119101,10-4020-000073,29925,280.0,1,840,840,5,5343.0,56208Vi27980,,20628.5745,1977.1163,617.8489,23223.5397,,c60e991f-937f-4af3-9883-614a667d9749,2022-07-07
43878,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO11716136854,10-4020-000144,29664,275.0,2,770,770,5,7167.0,46227Vi37199,,4079.988,391.6788,122.3996,4594.0664,,92096ec8-87b0-42d0-8516-3f6e713a1de7,2022-07-07
43879,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO11600128380,10-4020-000569,29510,282.0,6,540,540,5,14729.0,26285Vi76327,407.0,21718.7639,2087.8858,652.4643,24459.114,,e7812579-e1a0-4997-9027-a1afb625c9e7,2022-07-07
43880,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO11020127453,10-4020-000336,29789,278.0,6,501,501,5,18316.0,126355Vi95120,407.0,15479.55,1488.4458,465.1393,17433.1351,,77f5c860-1887-4b14-96bf-fe58ca4fb307,2022-07-07
43881,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO10759119626,10-4020-000346,30111,277.0,3,598,598,5,569.0,56356Vi2945,,38816.8056,3725.7234,1164.2885,43706.8175,,063e526c-d138-40d0-8be7-5807dacc6934,2022-07-07
43882,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO10469165208,10-4020-000335,29558,282.0,6,500,500,5,11282.0,66419Vi58190,407.0,2024.994,194.3994,60.7498,2280.1432,,1fadfae5-c70e-49a6-892d-6d80949d3c44,2022-07-07
43883,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO10121175623,10-4020-000684,29724,275.0,2,829,829,5,6126.0,76443Vi31838,,18320.6894,1763.0175,550.943,20634.6499,,f27b0997-0d8a-4653-a280-5596e895a0eb,2022-07-07
43884,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO10440182311,10-4020-000623,29861,277.0,3,628,11382,5,16665.0,96446Vi86292,,115696.3313,11215.3536,3504.798,130416.4829,,37c9d09f-1e62-4cfa-ab5c-cbc7d0ec3240,2022-07-07
43885,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO609186449,10-4020-000492,29757,276.0,4,1070,1070,5,13246.0,66522Vi68706,,68.4,5.928,1.8525,76.1805,,02b2dac2-90dc-413a-b148-a9145a459ac8,2022-07-07
43886,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO1827149671,10-4020-000317,29698,282.0,6,497,497,5,11745.0,76664Vi60734,407.0,17358.0101,1664.9942,520.3107,19543.315,,d2f8ba9f-0619-4a06-b7b7-7c38d088db2b,2022-07-07
43887,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO1276169981,10-4020-000548,29493,279.0,5,970,970,5,9478.0,106673Vi48861,,419.4589,40.2681,12.5838,472.3108,,9e78ed24-f8ba-4c3d-ad89-d9a1a2e51d45,2022-07-07
43888,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO2088113013,10-4020-000136,29794,282.0,6,466,466,5,12102.0,96752Vi62574,407.0,14432.8174,1388.4649,433.8953,16255.1776,,2a00b8dd-78a6-4df8-bae5-58b1b4a78aaf,2022-07-07
43889,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO2030112412,10-4020-000661,29830,278.0,6,553,553,5,16905.0,126756Vi87636,407.0,2082.6748,199.3984,62.312,2344.3852,,9e9da825-41ba-443c-bca6-02121373f476,2022-07-07
