salesorderid,salesreasonid,modifieddate
43697,5,2022-05-30
43697,9,2022-05-30
43702,5,2022-05-31
43702,9,2022-05-31
43703,5,2022-05-31
43703,9,2022-05-31
43706,5,2022-06-01
43706,9,2022-06-01
43707,5,2022-06-01
43707,9,2022-06-01
43709,5,2022-06-01
43709,9,2022-06-01
43710,5,2022-06-01
43710,9,2022-06-01
43711,5,2022-06-02
43711,9,2022-06-02
43712,5,2022-06-02
43712,9,2022-06-02
43713,5,2022-06-03
43713,9,2022-06-03
43714,5,2022-06-03
43714,9,2022-06-03
43715,5,2022-06-03
43715,9,2022-06-03
43716,5,2022-06-03
43716,9,2022-06-03
43718,5,2022-06-04
43718,9,2022-06-04
43719,5,2022-06-04
43719,9,2022-06-04
43720,5,2022-06-04
43720,9,2022-06-04
43721,5,2022-06-04
43721,9,2022-06-04
43722,5,2022-06-05
43722,9,2022-06-05
43724,5,2022-06-05
43724,9,2022-06-05
43725,5,2022-06-06
43725,9,2022-06-06
43727,5,2022-06-06
43727,9,2022-06-06
43728,5,2022-06-07
43728,9,2022-06-07
43731,5,2022-06-07
43731,9,2022-06-07
43733,5,2022-06-07
43733,9,2022-06-07
43734,5,2022-06-08
43734,9,2022-06-08
43735,5,2022-06-08
43735,9,2022-06-08
43737,5,2022-06-09
43737,9,2022-06-09
43738,5,2022-06-09
43738,9,2022-06-09
43739,5,2022-06-09
43739,9,2022-06-09
43740,5,2022-06-09
43740,9,2022-06-09
43741,5,2022-06-10
43741,9,2022-06-10
43742,5,2022-06-10
43742,9,2022-06-10
43744,5,2022-06-10
43744,9,2022-06-10
43745,5,2022-06-11
43745,9,2022-06-11
43746,5,2022-06-11
43746,9,2022-06-11
43747,5,2022-06-12
43747,9,2022-06-12
43748,5,2022-06-12
43748,9,2022-06-12
43749,5,2022-06-12
43749,9,2022-06-12
43750,5,2022-06-12
43750,9,2022-06-12
43751,5,2022-06-12
43751,9,2022-06-12
43752,5,2022-06-12
43752,9,2022-06-12
43753,5,2022-06-12
43753,9,2022-06-12
43754,5,2022-06-13
43754,9,2022-06-13
43755,5,2022-06-13
43755,9,2022-06-13
43758,5,2022-06-14
43758,9,2022-06-14
43759,5,2022-06-14
43759,9,2022-06-14
43760,5,2022-06-14
43760,9,2022-06-14
43761,5,2022-06-14
43761,9,2022-06-14
43762,5,2022-06-15
43762,9,2022-06-15
43763,5,2022-06-15
43763,9,2022-06-15
43764,5,2022-06-15
43764,9,2022-06-15
43766,5,2022-06-16
43766,9,2022-06-16
43768,5,2022-06-17
43768,9,2022-06-17
43769,5,2022-06-17
43769,9,2022-06-17
43770,5,2022-06-17
43770,9,2022-06-17
43772,5,2022-06-17
43772,9,2022-06-17
43773,5,2022-06-17
43773,9,2022-06-17
43774,5,2022-06-17
43774,9,2022-06-17
43776,5,2022-06-18
43776,9,2022-06-18
43777,5,2022-06-18
43777,9,2022-06-18
43780,5,2022-06-19
43780,9,2022-06-19
43781,5,2022-06-19
43781,9,2022-06-19
43782,5,2022-06-19
43782,9,2022-06-19
43783,5,2022-06-19
43783,9,2022-06-19
43784,5,2022-06-20
43784,9,2022-06-20
43785,5,2022-06-20
43785,9,2022-06-20
43786,5,2022-06-20
43786,9,2022-06-20
43791,5,2022-06-20
43791,9,2022-06-20
43792,5,2022-06-20
43792,9,2022-06-20
43795,5,2022-06-21
43795,9,2022-06-21
43797,5,2022-06-21
43797,9,2022-06-21
43798,5,2022-06-21
43798,9,2022-06-21
43799,5,2022-06-21
43799,9,2022-06-21
43800,5,2022-06-22
43800,9,2022-06-22
43801,5,2022-06-22
43801,9,2022-06-22
43802,5,2022-06-22
43802,9,2022-06-22
43803,5,2022-06-23
43803,9,2022-06-23
43804,5,2022-06-23
43804,9,2022-06-23
43806,5,2022-06-23
43806,9,2022-06-23
43807,5,2022-06-24
43807,9,2022-06-24
43808,5,2022-06-24
43808,9,2022-06-24
43809,5,2022-06-24
43809,9,2022-06-24
43812,5,2022-06-25
43812,9,2022-06-25
43815,5,2022-06-25
43815,9,2022-06-25
43816,5,2022-06-25
43816,9,2022-06-25
43817,5,2022-06-25
43817,9,2022-06-25
43818,5,2022-06-25
43818,9,2022-06-25
43820,5,2022-06-26
43820,9,2022-06-26
43821,5,2022-06-26
43821,9,2022-06-26
43822,5,2022-06-26
43822,9,2022-06-26
43825,5,2022-06-26
43825,9,2022-06-26
43828,5,2022-06-27
43828,9,2022-06-27
43829,5,2022-06-27
43829,9,2022-06-27
43830,5,2022-06-27
43830,9,2022-06-27
43832,5,2022-06-27
43832,9,2022-06-27
