businessentityid,territoryid,salesquota,bonus,commissionpct,salesytd,saleslastyear,rowguid,modifieddate
274,,,0.0,0.0,559697.5639,0.0,48754992-9ee0-4c0e-8c94-9451604e3e02,2021-12-27
275,2.0,300000.0,4100.0,0.012,3763178.1787,1750406.4785,1e0a7274-3064-4f58-88ee-4c6586c87169,2022-05-23
276,4.0,250000.0,2000.0,0.015,4251368.5497,1439156.0291,4dd9eee4-8e81-4f8c-af97-683394c1f7c0,2022-05-23
277,3.0,250000.0,2500.0,0.015,3189418.3662,1997186.2037,39012928-bfec-4242-874d-423162c3f567,2022-05-23
278,6.0,250000.0,500.0,0.01,1453719.4653,1620276.8966,7a0ae1ab-b283-40f9-91d1-167abf06d720,2022-05-23
279,5.0,300000.0,6700.0,0.01,2315185.611,1849640.9418,52a5179d-3239-4157-ae29-17e868296dc0,2022-05-23
280,1.0,250000.0,5000.0,0.01,1352577.1325,1927059.178,be941a4a-fb50-4947-bda4-bb8972365b08,2022-05-23
281,4.0,250000.0,3550.0,0.01,2458535.6169,2073505.9999,35326ddb-7278-4fef-b3ba-ea137b69094e,2022-05-23
282,6.0,250000.0,5000.0,0.015,2604540.7172,2038234.6549,31fd7fc1-dc84-4f05-b9a0-762519eacacc,2022-05-23
283,1.0,250000.0,3500.0,0.012,1573012.9383,1371635.3158,6bac15b2-8ffb-45a9-b6d5-040e16c2073f,2022-05-23
284,1.0,300000.0,3900.0,0.019,1576562.1966,0.0,ac94ec04-a2dc-43e3-8654-dd0c546abc17,2023-09-23
285,,,0.0,0.0,172524.4512,0.0,cfdbef27-b1f7-4a56-a878-0221c73bae67,2024-03-06
286,9.0,250000.0,5650.0,0.018,1421810.9242,2278548.9776,9b968777-75dc-45bd-a8df-9cdaa72839e1,2024-05-22
287,,,0.0,0.0,519905.932,0.0,1dd1f689-df74-4149-8600-59555eef154b,2023-04-09
288,8.0,250000.0,75.0,0.018,1827066.7118,1307949.7917,224bb25a-62e3-493e-acaf-4f8f5c72396a,2024-05-22
289,10.0,250000.0,5150.0,0.02,4116871.2277,1635823.3967,25f6838d-9db4-4833-9ddc-7a24283af1ba,2023-05-23
290,7.0,250000.0,985.0,0.016,3121616.3202,2396539.7601,f509e3d4-76c8-42aa-b353-90b7b8db08de,2023-05-23
