businessentityid,quotadate,salesquota,rowguid,modifieddate
274,2022-05-30,28000.0,99109bbf-8693-4587-bc23-6036ec89e1be,2022-04-15
274,2022-08-30,7000.0,dfd01444-8900-461c-8d6f-04598dae01d4,2022-07-16
274,2022-11-30,91000.0,0a69f453-9689-4ccf-a08c-c644670f5668,2022-10-16
274,2023-02-28,140000.0,da8d1458-5fb9-4c3e-9ead-8f5ce1393047,2023-01-14
274,2023-05-30,70000.0,760cef84-b980-417b-a667-7358c38857f0,2023-04-15
274,2023-08-30,154000.0,fb29e024-f26a-49aa-a7cc-c99ae7ba4853,2023-07-16
274,2023-11-30,107000.0,13947d2c-a254-47c9-8817-cbd186ffa526,2023-10-16
274,2024-02-28,58000.0,bc1a222f-47a0-48d1-9c56-ac873269dc98,2024-01-14
274,2024-05-29,263000.0,8b4e3cbf-f0ef-49c5-9a8c-87679055057e,2024-04-14
274,2024-08-29,116000.0,e9de95e3-b119-4441-bd1d-b27fc4516022,2024-07-15
274,2024-11-29,84000.0,7cea47b5-8391-4414-a866-ff6ec6628cd3,2024-10-15
274,2025-02-28,187000.0,0cfb6474-20aa-46d3-a5c0-29dba2eda025,2025-01-14
275,2022-05-30,367000.0,5f7e9647-3f08-49b0-a4a4-90257fc78197,2022-04-15
275,2022-08-30,556000.0,87ac1fb7-a3c5-43a6-90aa-2d09ae00148a,2022-07-16
275,2022-11-30,502000.0,52849f15-2fc4-4154-894d-1e3d3daea181,2022-10-16
275,2023-02-28,550000.0,c69b67db-f35f-4dad-a8a8-c4d074ad17db,2023-01-14
275,2023-05-30,1429000.0,ace52ebf-5328-4b20-951f-f7323f0d3a56,2023-04-15
275,2023-08-30,1324000.0,59fd606c-22ff-4f43-951b-74fca7758ede,2023-07-16
275,2023-11-30,729000.0,a2907d41-6271-43d5-8439-dffeb6b963fa,2023-10-16
275,2024-02-28,1194000.0,08270720-0537-4f0e-ba15-375ec0660f31,2024-01-14
275,2024-05-29,1575000.0,aa3c8a00-6590-497e-80f6-075bb947e025,2024-04-14
275,2024-08-29,1218000.0,12aac834-ab2f-4e84-b85d-08839670c198,2024-07-15
275,2024-11-29,849000.0,118f1fc6-7b7e-4588-90b0-f08ba349dbe7,2024-10-15
275,2025-02-28,869000.0,1290b655-35f4-4447-a4c5-1385f62fef4d,2025-01-14
276,2022-05-30,637000.0,2df41dd8-182e-4c57-ae81-718f714cb4ff,2022-04-15
276,2022-08-30,781000.0,cb65848e-16d8-42fd-a9f3-8a8cae4ceb9c,2022-07-16
276,2022-11-30,665000.0,e35d6a3a-8303-47dd-b0e6-fd7d40a396b2,2022-10-16
276,2023-02-28,639000.0,f8443072-c5b3-4f3f-8e20-5f53c90b0414,2023-01-14
276,2023-05-30,1355000.0,1b62e37f-2045-404a-b3f0-4e7b65c8d979,2023-04-15
276,2023-08-30,1009000.0,68082afc-9a96-4ede-8b8e-64c4e9f8ddd4,2023-07-16
276,2023-11-30,860000.0,a6fce001-af4b-45fa-998c-f69e097d650e,2023-10-16
276,2024-02-28,1021000.0,aeda3a74-5e52-4fdc-ae81-e236b4d14f5f,2024-01-14
276,2024-05-29,1525000.0,c81757ca-da32-4618-8429-395f96283a6d,2024-04-14
276,2024-08-29,1276000.0,c5a85488-c1dc-4f85-9b24-addf853793f8,2024-07-15
276,2024-11-29,894000.0,9d246af6-85fe-4a25-a266-70a11895d013,2024-10-15
276,2025-02-28,1124000.0,633a5552-f996-475f-bd93-bb6f343f65d8,2025-01-14
277,2022-05-30,565000.0,d1f92ec2-0c55-47d4-be71-54b37223d19f,2022-04-15
277,2022-08-30,872000.0,f9823592-5888-487d-9b86-79074a27a96f,2022-07-16
277,2022-11-30,846000.0,472859c3-39a7-4504-a0cd-760cbeac95f8,2022-10-16
277,2023-02-28,952000.0,eca1e739-05f5-4584-9118-927634284e93,2023-01-14
277,2023-05-30,1600000.0,d368dc2c-f142-48f6-a787-91d818c04534,2023-04-15
277,2023-08-30,1352000.0,64c8e4f4-f979-4816-a2ee-b044ad74224d,2023-07-16
277,2023-11-30,839000.0,0569df99-deab-46ce-8818-8eee2dd47bf1,2023-10-16
277,2024-02-28,1369000.0,0323d0bc-c5cc-4d67-8935-dd05074fba43,2024-01-14
277,2024-05-29,1171000.0,fca465de-87f6-4f95-b80f-103726ce823b,2024-04-14
277,2024-08-29,971000.0,d1cf9bfc-0e82-4b0a-becc-da6246767a74,2024-07-15
277,2024-11-29,714000.0,980224a6-3397-4af9-9b7b-883c80122a6a,2024-10-15
277,2025-02-28,947000.0,440aa05d-4bc7-4093-8c4e-54f7f8c74bb9,2025-01-14
278,2022-05-30,244000.0,16962d2d-f610-4150-9c05-0be2e0ffe207,2022-04-15
278,2022-08-30,356000.0,5690e967-970d-41f6-9864-c64bd61a896d,2022-07-16
278,2022-11-30,266000.0,9aeda6ba-4476-4f8e-821b-26b52596718f,2022-10-16
278,2023-02-28,341000.0,ee81e30a-0878-4fdd-b626-c44ad7b7df61,2023-01-14
278,2023-05-30,542000.0,ab87ae3a-a0db-4073-b348-02851be80d64,2023-04-15
278,2023-08-30,329000.0,b06507b8-6a96-4819-ac31-a77411c9b777,2023-07-16
278,2023-11-30,239000.0,4580482f-a91e-4482-a95d-fc7bce1a2e01,2023-10-16
278,2024-02-28,418000.0,c7a90e1b-3b08-4b58-84f7-8f70c9092d86,2024-01-14
278,2024-05-29,507000.0,0e252d7f-f0a3-493a-93ff-1aca0fbfe0ad,2024-04-14
278,2024-08-29,453000.0,f22dfa8f-2d6d-4ca1-9abf-48d8b2b4f705,2024-07-15
278,2024-11-29,280000.0,f30d6135-6631-406a-a396-be71e1bd87cf,2024-10-15
278,2025-02-28,390000.0,0696b200-1180-4150-9bdf-0ec0a83c78bf,2025-01-14
279,2022-05-30,669000.0,c40ac76f-5027-4417-9b60-cb1210ac079a,2022-04-15
279,2022-08-30,917000.0,982237b6-4533-4dcb-907a-9e15d45afa59,2022-07-16
279,2022-11-30,780000.0,20819180-2de9-41fe-9efb-6513453d69a0,2022-10-16
279,2023-02-28,802000.0,b762b64b-0e51-41c9-889f-1535bf553bed,2023-01-14
279,2023-05-30,734000.0,480c5a5b-e2ac-4c72-930b-b80e770fb14b,2023-04-15
279,2023-08-30,647000.0,660a70a8-ce25-4cec-8866-fb50c5377bec,2023-07-16
279,2023-11-30,571000.0,e7f639ac-53c3-4b66-8ecd-5f71e7cacb99,2023-10-16
279,2024-02-28,572000.0,173ad1f3-c953-4182-8168-97190ca5f929,2024-01-14
279,2024-05-29,950000.0,399faa31-8935-4e8a-8ae6-9b3deb5bf5e0,2024-04-14
279,2024-08-29,675000.0,3bd5fb9e-0d3c-41b5-a619-cb98d6e5b7fe,2024-07-15
279,2024-11-29,538000.0,95b4b50b-08e7-4b71-a68c-b55f9400395b,2024-10-15
279,2025-02-28,686000.0,bb8c5bb9-475d-438b-a611-17a20f4a6b91,2025-01-14
280,2022-05-30,165000.0,4f97c4d6-9c4c-4915-9ca4-eab679d373f6,2022-04-15
280,2022-08-30,469000.0,ba494ea7-5ced-4044-995c-39a69dd68b34,2022-07-16
280,2022-11-30,264000.0,d2fe8c53-8307-4c36-9571-f5648da24ca2,2022-10-16
280,2023-02-28,301000.0,b9c12814-44b8-47ce-8db8-45a7c91e360b,2023-01-14
280,2023-05-30,210000.0,1ea57383-0be7-46e8-bfb9-21034fabe6cc,2023-04-15
280,2023-08-30,226000.0,876e5dd7-de44-4497-bb38-08b1d56a9f5d,2023-07-16
280,2023-11-30,190000.0,3e7198aa-2bf8-4050-9050-091d14f61ff1,2023-10-16
280,2024-02-28,224000.0,adc65c86-afee-4a07-80d9-f23039954c4a,2024-01-14
280,2024-05-29,319000.0,58e9567d-5174-4a27-a95a-11da6e6dc585,2024-04-14
280,2024-08-29,450000.0,fceb753b-9a73-445a-937f-ba7ec99385b4,2024-07-15
280,2024-11-29,343000.0,a5ccd7a0-f696-489e-8d9b-73904d898dc6,2024-10-15
280,2025-02-28,390000.0,bff32188-2095-43b6-88ff-4cdcdd7c2f4c,2025-01-14
281,2022-05-30,460000.0,fcef2af1-6183-41b3-a04f-2ead88389267,2022-04-15
281,2022-08-30,549000.0,ad3e7040-3f1f-485e-a716-f7d18ce09e76,2022-07-16
281,2022-11-30,473000.0,90489216-ea7e-43b0-be90-17f2ed47f2e2,2022-10-16
281,2023-02-28,493000.0,23dcfb7a-4b3f-4302-b88a-989b28c9c32a,2023-01-14
281,2023-05-30,1034000.0,61407c3a-731d-4269-9894-bfa0f447fe79,2023-04-15
281,2023-08-30,813000.0,bfb04c57-f0f4-4422-aa9b-d2a74e67a3a8,2023-07-16
281,2023-11-30,470000.0,49c77875-1c39-4253-8505-bd7fe53a0ae2,2023-10-16
281,2024-02-28,555000.0,f6c65525-b30a-42b5-be6c-ea63b6bef320,2024-01-14
281,2024-05-29,935000.0,cb4de112-c5fa-4b67-8eeb-9f09569c249c,2024-04-14
281,2024-08-29,684000.0,cfa3347d-bbf9-4f9b-8339-6fc0fd0079f4,2024-07-15
281,2024-11-29,614000.0,070f2190-c4fb-4261-98ef-c6b5ca745de8,2024-10-15
281,2025-02-28,724000.0,634a330e-8683-42d4-824f-39b3f9076270,2025-01-14
282,2022-05-30,525000.0,bde90d55-c92e-4b0d-8e0c-72fd0eece610,2022-04-15
282,2022-08-30,767000.0,10c5e693-5182-4951-9f36-0bae17b3878c,2022-07-16
282,2022-11-30,583000.0,d3afa546-5a53-47ca-b2ac-49a54d68c090,2022-10-16
282,2023-02-28,583000.0,85cd56a2-f1a1-4e1d-9ab6-f415d811f3c1,2023-01-14
282,2023-05-30,496000.0,1f07008f-826f-4c83-a3f6-b72ea3a406af,2023-04-15
282,2023-08-30,452000.0,0f4f65ca-3a56-46f0-b5f0-9d86db593ca3,2023-07-16
282,2023-11-30,288000.0,292d397c-b094-44bd-8374-cff90cf4b10a,2023-10-16
282,2024-02-28,247000.0,122081ea-60af-45e8-b732-7e614edf8460,2024-01-14
282,2024-05-29,1051000.0,8253c051-2dd1-47b8-8e54-cb52882fdc01,2024-04-14
282,2024-08-29,707000.0,40ade5de-6cae-40c2-8d7f-594045a6a40e,2024-07-15
282,2024-11-29,569000.0,62dd856a-7b26-4952-861d-5c8b85a2e859,2024-10-15
282,2025-02-28,830000.0,f020801a-4e65-42e3-83e5-cb92fde0beee,2025-01-14
283,2022-05-30,226000.0,610f84c0-206d-487f-988e-c804abfc11a5,2022-04-15
283,2022-08-30,353000.0,62ce3158-2b10-483f-beb3-5e4d60966183,2022-07-16
283,2022-11-30,280000.0,7a09cd71-eed6-485b-8af4-800c82aec15a,2022-10-16
283,2023-02-28,267000.0,d44e0e60-c00c-413b-b288-1b69553120bc,2023-01-14
283,2023-05-30,483000.0,5e45eb9d-6592-444c-bb43-8b260afabd7d,2023-04-15
283,2023-08-30,341000.0,a3974eb0-509f-432a-8046-8e14bb175a91,2023-07-16
283,2023-11-30,151000.0,a0018050-d5a1-46b9-88a0-37ea2034585a,2023-10-16
283,2024-02-28,284000.0,8de8217f-553d-4614-b0e0-b0bdb32e7aec,2024-01-14
283,2024-05-29,631000.0,9b6e418d-0842-4fe3-b86a-9eca7cce4367,2024-04-14
283,2024-08-29,372000.0,c97c50f2-2dbe-465d-8780-fe201f0cfd25,2024-07-15
283,2024-11-29,234000.0,816a0650-905e-4079-8f89-2e1a698a1e10,2024-10-15
283,2025-02-28,403000.0,99552f0a-6a94-4a5b-afe9-a18973958b9e,2025-01-14
284,2023-08-30,321000.0,375ed681-8543-49e2-bb95-fa56545568e8,2023-07-16
284,2023-11-30,281000.0,62e27478-25ea-4f94-af10-757c85f5cace,2023-10-16
284,2024-02-28,304000.0,169659d9-a26f-4ea3-9f49-b0857c24cb4c,2024-01-14
284,2024-05-29,516000.0,5671ec9e-4fa4-4232-907f-5cb981445e52,2024-04-14
284,2024-08-29,380000.0,4b6ebe93-65ed-474b-9210-3115f0979546,2024-07-15
284,2024-11-29,454000.0,70785e05-776d-4479-b6b5-83d9b1c9d7dd,2024-10-15
284,2025-02-28,497000.0,d566e989-d212-4b08-bb20-be7967ecefaf,2025-01-14
285,2024-05-29,132000.0,a6b9418a-d891-469e-a2c2-5d3e8e7251fd,2024-04-14
285,2024-08-29,40000.0,eb5d735c-8bbd-4b6c-a7eb-a006335a5d2e,2024-07-15
285,2024-11-29,7000.0,f9488f84-7dfe-4073-8de4-ba2ba1f3a00f,2024-10-15
285,2025-02-28,26000.0,2c00a4fc-8f81-4b01-8e12-5171e008803b,2025-01-14
286,2024-05-29,478000.0,03a84ecc-e299-4b61-a634-892399e0a0ec,2024-04-14
286,2024-08-29,389000.0,34b585ba-dd7e-41e6-af29-a4ac61eae320,2024-07-15
286,2024-11-29,399000.0,5af006c1-aa62-4303-875f-f248b448297c,2024-10-15
286,2025-02-28,421000.0,53a0df58-8b98-4371-97a5-14c1442a3582,2025-01-14
287,2023-05-30,93000.0,0103899f-618c-4478-90bb-815b20856f35,2023-04-15
287,2023-08-30,15000.0,f72567da-8a78-43c7-9adb-30b1503e6f56,2023-07-16
287,2023-11-30,33000.0,87a51a0f-3d6d-42d0-98a7-4ad934977417,2023-10-16
287,2024-02-28,110000.0,6206c73d-958d-44ca-b1c1-5e0c34a3c156,2024-01-14
287,2024-05-29,184000.0,5fbe0fbe-45ff-42ad-9e04-46d6c5dd24a9,2024-04-14
287,2024-08-29,324000.0,27ded788-f295-472a-8151-5254a86103e0,2024-07-15
287,2024-11-29,116000.0,b1382489-b7ef-465f-bc96-06fd27e8f320,2024-10-15
287,2025-02-28,1000.0,5db4299a-1ad9-49c6-b024-528c771cae3f,2025-01-14
288,2024-05-29,728000.0,0a25496d-5797-44f6-9331-a71d06b0fd63,2024-04-14
288,2024-08-29,566000.0,c88dafc0-a293-4a00-98c2-1a530288a113,2024-07-15
288,2024-11-29,366000.0,a2b99573-af8a-461a-b554-f489de2fa266,2024-10-15
288,2025-02-28,627000.0,15e5eae2-bd36-4798-a066-bc7594e2930b,2025-01-14
289,2023-05-30,1898000.0,76d1ed81-97a0-466e-8778-51b19e6b21fa,2023-04-15
289,2023-08-30,1262000.0,738ac57f-d7a4-42f6-bb6c-0447d877aa13,2023-07-16
289,2023-11-30,938000.0,9058a255-7745-494b-9a4b-6cea2d0a3ba7,2023-10-16
289,2024-02-28,1279000.0,f436e58a-b6e5-4945-bee1-c80602b7b7a8,2024-01-14
289,2024-05-29,1506000.0,81ef8bc1-eff8-4cff-adc3-3b76104d9b5f,2024-04-14
289,2024-08-29,1419000.0,496e25d7-21a1-4185-9fbc-2db261c8de25,2024-07-15
289,2024-11-29,883000.0,ce0b49c6-ced2-46b2-83c4-28f72d04ce5c,2024-10-15
289,2025-02-28,1329000.0,15be4c16-782c-40fd-861f-dd85cdebca83,2025-01-14
290,2023-05-30,593000.0,6a02ab77-5938-4ef9-ac8f-f150c4d18853,2023-04-15
290,2023-08-30,409000.0,3d041ba7-323f-48d5-9e7e-2b65b6afd846,2023-07-16
290,2023-11-30,217000.0,aa12de6f-c835-4876-9afb-7ae5501db57e,2023-10-16
290,2024-02-28,404000.0,c35fb2f4-1e84-4b8f-af6b-186315ccac08,2024-01-14
290,2024-05-29,1262000.0,c637e5f0-1e12-41f6-932e-53714b6961a8,2024-04-14
290,2024-08-29,1057000.0,59e16b51-71f7-48e4-8a80-359103fe685a,2024-07-15
290,2024-11-29,707000.0,a6cf1e2a-da84-407a-9bec-4ad473708c0b,2024-10-15
290,2025-02-28,908000.0,00f2f9f8-5158-4436-b134-7e0c462289e5,2025-01-14
